FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
48123,0.01911622957304673,0.022944383436506934,0.6666666666666666,0.14869,0.03479,0.13188,0.14165,0.1098,0.14614,0.11961,0.0158,0.3210509541424185,0.1124924446,0.849708149702421,0.3804347826086957,0.8356654782415542
48127,0.048907683821685866,0.04765745716756883,0.6666666666666666,0.1669699999999999,0.03714,0.1562899999999999,0.33273,0.05696,0.24574,0.3038,0.03415,0.2029263236483029,0.1266081502,0.893016843211873,0.3641304347826086,0.848568205109854
48137,0.1938728890523231,0.05182651286187695,1.0,0.25044,0.02482,0.1040199999999999,0.13265,0.0,0.03666,0.30822,0.0,0.0698276399182093,0.1057078612,0.7805298403079965,0.2934782608695653,0.731987862470199
48149,0.021417308795917116,0.00617097987385934,0.6666666666666666,0.14254,0.03223,0.1287599999999999,0.08967,0.0526299999999999,0.10194,0.24943,0.01368,0.0962150306054996,0.1066899223,0.8417592683162769,0.3858695652173912,0.7763117416528451
48159,0.04240838863166575,0.029970554222019215,0.7777777777777778,0.10955,0.05103,0.14347,0.11193,0.07273,0.09344,0.1737399999999999,0.00762,0.0905104181290765,0.1170715615,0.7524871465805054,0.375,0.676999199611441
48169,0.20576272697388584,0.028289326634337857,0.6666666666666666,0.1510399999999999,0.32061,0.1322,0.13759,0.04,0.17742,0.06,0.02641,0.0239918816973633,0.1029724576,0.7393525433370143,0.2554347826086957,0.6342142781468174
48177,0.024974788417715527,0.022915229200882403,0.6666666666666666,0.23611,0.10176,0.1225,0.17716,0.03991,0.13686,0.07982,0.01164,0.3646154734844488,0.1168335157,0.839318431646165,0.3804347826086957,0.7917614256223604
48179,0.2430368674121495,0.039115266129580856,0.6666666666666666,0.06418,0.06462,0.15408,0.13738,0.05666,0.15099,0.13783,0.0135,0.3482655365646606,0.1147874735,0.6712779822227186,0.2282608695652174,0.5878210494552685
48185,0.028418049821429568,0.016938610897853274,0.6666666666666666,0.2454299999999999,0.05711,0.15308,0.14637,0.08712,0.14933,0.1553,0.01103,0.2418434634613625,0.1183787371,0.8233696678818765,0.4021739130434782,0.8042473292062491
48191,0.1601757289072381,0.03506282737777087,1.0,0.04251,0.07742,0.15302,0.1890899999999999,0.11111,0.22481,0.06667,0.0146,0.1111556343908361,0.146589266,0.7251741917345118,0.2282608695652174,0.6410556641107577
48195,0.26213638212401313,0.0407770575601792,0.7777777777777778,0.09893,0.19596,0.11169,0.0668499999999999,0.0,0.1617299999999999,0.56667,0.01348,0.1908920837614109,0.1200753445,0.6119044030039003,0.2228260869565217,0.5333692678396756
48217,0.04814715763785582,0.018959971234487515,0.6666666666666666,0.1783,0.04551,0.15807,0.13611,0.13936,0.14953,0.29392,0.01261,0.1222605368848144,0.1185410146,0.7869704374708013,0.3804347826086957,0.7347607882408426
48227,0.21690596776260443,0.008114595582161495,0.4444444444444444,0.06351,0.09894,0.16691,0.1145299999999999,0.13359,0.15926,0.21313,0.02628,0.3362332057823901,0.1099214549,0.7501872055062233,0.2934782608695653,0.706144447297333
48233,0.25876833759562295,0.04118521685892266,0.6666666666666666,0.09754,0.02383,0.1755099999999999,0.1067999999999999,0.12477,0.13419,0.34264,0.02448,0.4124665832458161,0.11350827,0.6947484652337668,0.2282608695652174,0.5878210494552685
